0 255,255,255,255
1 253,254,251,255
2 250,252,244,255
3 246,250,237,255
4 243,248,230,255
5 240,246,223,255
6 237,244,217,255
7 234,242,210,255
8 230,240,203,255
9 227,238,196,255
10 224,236,189,255
11 221,234,182,255
12 217,232,175,255
13 214,230,168,255
14 211,228,161,255
15 208,226,155,255
16 204,224,148,255
17 201,222,141,255
18 198,220,134,255
19 195,218,127,255
20 192,216,120,255
21 188,214,113,255
22 185,212,106,255
23 182,210,99,255
24 179,208,93,255
25 175,206,86,255
26 172,204,79,255
27 169,202,72,255
28 166,200,65,255
29 163,198,58,255
30 159,196,51,255
31 156,194,44,255
32 153,192,37,255
33 150,190,31,255
34 146,188,24,255
35 143,186,17,255
36 140,184,10,255
37 137,182,3,255
38 133,180,0,255
39 130,178,0,255
40 127,176,0,255
41 124,174,0,255
42 121,172,0,255
43 117,170,0,255
44 114,168,0,255
45 111,166,0,255
46 108,164,0,255
47 104,162,0,255
48 101,160,0,255
49 98,158,0,255
50 95,156,0,255
51 91,154,0,255
52 88,152,0,255
53 85,150,0,255
54 82,148,0,255
55 79,146,0,255
56 75,144,0,255
57 72,142,0,255
58 69,140,0,255
59 66,138,0,255
60 62,136,0,255
61 59,134,0,255
62 56,132,0,255
63 53,130,0,255
64 50,128,0,255
65 46,126,0,255
66 43,124,0,255
67 40,122,0,255
68 37,120,0,255
69 33,118,0,255
70 30,116,0,255
71 27,114,0,255
72 24,112,0,255
73 20,110,0,255
74 17,108,0,255
75 14,106,0,255
76 11,104,0,255
77 8,102,0,255
78 4,100,0,255
79 1,98,0,255
80 0,96,0,255
81 0,94,0,255
82 0,92,0,255
83 0,90,0,255
84 0,88,0,255
85 0,86,0,255
86 0,84,0,255
87 0,82,0,255
88 0,80,0,255
89 0,78,0,255
90 0,76,0,255
91 0,74,0,255
92 0,72,0,255
93 0,70,0,255
94 0,68,0,255
95 0,66,0,255
96 0,64,0,255
97 0,62,0,255
98 0,60,0,255
99 0,58,0,255
100 0,56,0,255
101 0,0,0,255
102 0,0,0,255
103 0,0,0,255
104 0,0,0,255
105 0,0,0,255
106 0,0,0,255
107 0,0,0,255
108 0,0,0,255
109 0,0,0,255
110 0,0,0,255
111 0,0,0,255
112 0,0,0,255
113 0,0,0,255
114 0,0,0,255
115 0,0,0,255
116 0,0,0,255
117 0,0,0,255
118 0,0,0,255
119 0,0,0,255
120 0,0,0,255
121 0,0,0,255
122 0,0,0,255
123 0,0,0,255
124 0,0,0,255
125 0,0,0,255
126 0,0,0,255
127 0,0,0,255
128 0,0,0,255
129 0,0,0,255
130 0,0,0,255
131 0,0,0,255
132 0,0,0,255
133 0,0,0,255
134 0,0,0,255
135 0,0,0,255
136 0,0,0,255
137 0,0,0,255
138 0,0,0,255
139 0,0,0,255
140 0,0,0,255
141 0,0,0,255
142 0,0,0,255
143 0,0,0,255
144 0,0,0,255
145 0,0,0,255
146 0,0,0,255
147 0,0,0,255
148 0,0,0,255
149 0,0,0,255
150 0,0,0,255
151 0,0,0,255
152 0,0,0,255
153 0,0,0,255
154 0,0,0,255
155 0,0,0,255
156 0,0,0,255
157 0,0,0,255
158 0,0,0,255
159 0,0,0,255
160 0,0,0,255
161 0,0,0,255
162 0,0,0,255
163 0,0,0,255
164 0,0,0,255
165 0,0,0,255
166 0,0,0,255
167 0,0,0,255
168 0,0,0,255
169 0,0,0,255
170 0,0,0,255
171 0,0,0,255
172 0,0,0,255
173 0,0,0,255
174 0,0,0,255
175 0,0,0,255
176 0,0,0,255
177 0,0,0,255
178 0,0,0,255
179 0,0,0,255
180 0,0,0,255
181 0,0,0,255
182 0,0,0,255
183 0,0,0,255
184 0,0,0,255
185 0,0,0,255
186 0,0,0,255
187 0,0,0,255
188 0,0,0,255
189 0,0,0,255
190 0,0,0,255
191 0,0,0,255
192 0,0,0,255
193 0,0,0,255
194 0,0,0,255
195 0,0,0,255
196 0,0,0,255
197 0,0,0,255
198 0,0,0,255
199 0,0,0,255
200 0,125,210,255
201 0,0,0,255
202 0,0,0,255
203 0,0,0,255
204 0,0,0,255
205 0,0,0,255
206 0,0,0,255
207 0,0,0,255
208 0,0,0,255
209 0,0,0,255
210 78,78,78,255
211 225,225,225,255
212 223,115,255,255
213 0,0,0,255
214 0,0,0,255
215 0,0,0,255
216 0,0,0,255
217 0,0,0,255
218 0,0,0,255
219 0,0,0,255
220 255,255,255,255
221 0,0,0,255
222 0,0,0,255
223 0,0,0,255
224 0,0,0,255
225 0,0,0,255
226 0,0,0,255
227 0,0,0,255
228 0,0,0,255
229 0,0,0,255
230 0,0,0,255
231 0,0,0,255
232 0,0,0,255
233 0,0,0,255
234 0,0,0,255
235 0,0,0,255
236 0,0,0,255
237 0,0,0,255
238 0,0,0,255
239 0,0,0,255
240 0,0,0,255
241 0,0,0,255
242 0,0,0,255
243 0,0,0,255
244 0,0,0,255
245 0,0,0,255
246 0,0,0,255
247 0,0,0,255
248 0,0,0,255
249 0,0,0,255
250 0,0,0,255
251 0,0,0,255
252 0,0,0,255
253 0,0,0,255
254 0,0,0,255
255 0,0,0,255
