# QGIS Generated Color Map Export File,,,,,
INTERPOLATION:INTERPOLATED,,,,,
0,255,247,10,255,1970
1,255,245,10,255,1971
2,255,243,10,255,1972
3,255,241,10,255,1973
4,255,238,11,255,1974
5,255,236,11,255,1975
6,255,234,11,255,1976
7,255,232,12,255,1977
8,255,229,12,255,1978
9,255,227,12,255,1979
10,255,225,13,255,1980
11,255,223,13,255,1981
12,255,221,13,255,1982
13,255,218,13,255,1983
14,255,216,14,255,1984
15,255,214,14,255,1985
16,255,212,14,255,1986
17,255,209,15,255,1987
18,255,207,15,255,1988
19,255,205,15,255,1989
20,254,203,16,255,1990
21,253,195,16,255,1991
22,252,187,17,255,1992
23,250,179,17,255,1993
24,249,171,18,255,1994
25,247,163,18,255,1995
26,246,155,19,255,1996
27,244,148,19,255,1997
28,243,140,20,255,1998
29,241,132,21,255,1999
30,240,124,21,255,2000
31,238,119,21,255,2001
32,236,114,21,255,2002
33,234,110,21,255,2003
34,233,105,21,255,2004
35,231,100,20,255,2005
36,229,96,20,255,2006
37,228,91,20,255,2007
38,226,86,20,255,2008
39,224,82,20,255,2009
40,222,77,20,255,2010
41,221,65,19,255,2011
42,219,52,18,255,2012
43,217,40,17,255,2013
44,215,28,16,255,2014
45,213,15,15,255,2015
46,195,12,12,255,2016
47,177,9,9,255,2017
48,159,6,6,255,2018
49,140,3,3,255,2019
50,122,0,0,255,2020
